A,AISC_name,EDI_Std_Nomenclature,H,Ix,Iy,Sx,Sy,T_F,Type,W,Zx,Zy,b,b_t,d,ro,rx,ry,t,y,yp
62.2,2L12X12X1-3/8X3/4,2L12X12X1-3/8X3/4,0.84,826,1760,97.2,142,F,2L,210,176,241,12,8.7,12,7.03,3.64,5.32,1.38,3.5,1.3
62.2,2L12X12X1-3/8,2L12X12X1-3/8,0.831,826,1590,97.2,133,F,2L,210,176,218,12,8.7,12,6.84,3.64,5.06,1.38,3.5,1.3
56.8,2L12X12X1-1/4X3/4,2L12X12X1-1/4X3/4,0.839,762,1590,89.2,128,F,2L,193,161,217,12,9.6,12,7.03,3.66,5.29,1.25,3.45,1.18
56.8,2L12X12X1-1/4,2L12X12X1-1/4,0.829,762,1440,89.2,120,F,2L,193,161,196,12,9.6,12,6.84,3.66,5.04,1.25,3.45,1.18
51.6,2L12X12X1-1/8,2L12X12X1-1/8,0.827,700,1300,81.4,108,F,2L,174,147,176,12,10.6,12,6.85,3.68,5.02,1.13,3.41,1.08
56.8,2L12X12X1-1/4X1-1/2,2L12X12X1-1/4X1-1/2,0.848,762,1760,89.2,138,F,2L,193,161,239,12,9.6,12,7.24,3.66,5.57,1.25,3.45,1.18
46,2L12X12X1,2L12X12X1,0.826,630,1150,73,95.8,F,2L,156,132,155,12,12,12,6.85,3.7,5,1,3.36,0.958
51.6,2L12X12X1-1/8X3/4,2L12X12X1-1/8X3/4,0.837,700,1440,81.4,116,F,2L,174,147,195,12,10.6,12,7.04,3.68,5.28,1.13,3.41,1.08
51.6,2L12X12X1-1/8X1-1/2,2L12X12X1-1/8X1-1/2,0.846,700,1590,81.4,125,F,2L,174,147,215,12,10.6,12,7.24,3.68,5.55,1.13,3.41,1.08
51.2,2L10X10X1-3/8,2L10X10X1-3/8,0.835,462,923,66,92.3,F,2L,174,120,154,10,7.25,10,5.69,3,4.25,1.38,3,1.28
46,2L12X12X1X3/4,2L12X12X1X3/4,0.834,630,1270,73,103,F,2L,156,132,172,12,12,12,7.03,3.7,5.25,1,3.36,0.958
51.2,2L10X10X1-3/8X1-1/2,2L10X10X1-3/8X1-1/2,0.858,462,1180,66,110,F,2L,174,120,192,10,7.25,10,6.12,3,4.8,1.38,3,1.28
51.2,2L10X10X1-3/8X3/4,2L10X10X1-3/8X3/4,0.847,462,1050,66,101,F,2L,174,120,173,10,7.25,10,5.9,3,4.53,1.38,3,1.28
46.8,2L10X10X1-1/4X1-1/2,2L10X10X1-1/4X1-1/2,0.855,426,1070,60.4,99.5,F,2L,160,110,173,10,8,10,6.11,3.02,4.78,1.25,2.95,1.17
46.8,2L10X10X1-1/4,2L10X10X1-1/4,0.832,426,833,60.4,83.3,F,2L,160,110,138,10,8,10,5.68,3.02,4.22,1.25,2.95,1.17
46,2L12X12X1X1-1/2,2L12X12X1X1-1/2,0.844,630,1410,73,111,F,2L,156,132,189,12,12,12,7.25,3.7,5.54,1,3.36,0.958
46.8,2L10X10X1-1/4X3/4,2L10X10X1-1/4X3/4,0.844,426,943,60.4,90.9,F,2L,160,110,156,10,8,10,5.89,3.02,4.49,1.25,2.95,1.17
42.6,2L10X10X1-1/8X1-1/2,2L10X10X1-1/8X1-1/2,0.853,392,960,55.2,89.3,F,2L,145,100,155,10,8.85,10,6.1,3.03,4.75,1.13,2.9,1.07
42.6,2L10X10X1-1/8,2L10X10X1-1/8,0.831,392,750,55.2,75,F,2L,145,100,124,10,8.85,10,5.68,3.03,4.2,1.13,2.9,1.07
42.6,2L10X10X1-1/8X3/4,2L10X10X1-1/8X3/4,0.842,392,849,55.2,81.8,F,2L,145,100,140,10,8.85,10,5.88,3.03,4.46,1.13,2.9,1.07
62.2,2L12X12X1-3/8X1-1/2,2L12X12X1-3/8X1-1/2,0.85,826,1950,97.2,153,F,2L,210,176,264,12,8.7,12,7.25,3.64,5.6,1.38,3.5,1.3
