A,AISC_name,Cw,EDI_Std_Nomenclature,Iw,Ix,Iy,Iz,J,PA,PA2,PB,SwA,SwB,SwC,Sx,Sy,Sz,SzA,SzB,SzC,T_F,Type,W,Zx,Zy,b,b_t,d,kdes,kdet,ro,rx,ry,rz,t,tana,wA,wB,wC,x,xp,y,yp,zA,zB,zC
28.4,L12X12X1-1/4,160,L12X12X1-1/4,610,381,381,152,14.9,36,36,48,75.9,0,75.9,44.6,44.6,31.1,37.5,31.1,37.5,F,L,96.4,80.7,80.7,12,9.6,12,1.96,1.938,6.54,3.66,3.66,2.31,1.25,1,4.05,4.88,4.05,3.45,1.18,3.45,1.18,8.04,0,8.04
31.1,L12X12X1-3/8,211,L12X12X1-3/8,661,413,413,165,19.9,36,36,48,82.6,0,82.6,48.6,48.6,33.3,41,33.3,41,F,L,105,88.1,88.1,12,8.7,12,2.09,2.063,6.51,3.64,3.64,2.3,1.38,1,4.02,4.95,4.02,3.5,1.3,3.5,1.3,8,0,8
25.8,L12X12X1-1/8,120,L12X12X1-1/8,560,350,350,140,11.1,36,36,48,69.2,0,69.2,40.7,40.7,29,34.5,29,34.5,F,L,87.2,73.7,73.7,12,10.6,12,1.84,1.813,6.58,3.68,3.68,2.33,1.13,1,4.06,4.82,4.06,3.41,1.08,3.41,1.08,8.09,0,8.09
23,L12X12X1,84.5,L12X12X1,504,315,315,126,7.8,36,36,48,62,0,62,36.5,36.5,26.5,30.8,26.5,30.8,F,L,77.8,65.9,65.9,12,12,12,1.71,1.688,6.61,3.7,3.7,2.34,1,1,4.09,4.75,4.09,3.36,0.958,3.36,0.958,8.13,0,8.13
25.6,L10X10X1-3/8,118,L10X10X1-3/8,369,231,231,93.3,16.4,30,30,40,56.1,0,56.1,33,33,22,28.1,22,28.1,F,L,87.1,59.9,59.8,10,7.25,10,2.18,2.188,5.36,3,3,1.91,1.38,1,3.32,4.24,3.32,3,1.28,3,1.28,6.58,0,6.58
23.4,L10X10X1-1/4,89.4,L10X10X1-1/4,341,213,213,85.4,12.3,30,30,40,51.4,0,51.4,30.2,30.2,20.5,25.6,20.5,25.6,F,L,79.9,54.9,54.9,10,8,10,2.05,2.063,5.39,3.02,3.02,1.91,1.25,1,3.34,4.17,3.34,2.95,1.17,2.95,1.17,6.63,0,6.63
21.3,L10X10X1-1/8,67.3,L10X10X1-1/8,314,196,196,78.2,9.21,30,30,40,47.1,0,47.1,27.6,27.6,19.1,23.2,19.1,23.2,F,L,72.3,50.2,50.2,10,8.85,10,1.93,1.938,5.41,3.03,3.03,1.92,1.13,1,3.37,4.1,3.37,2.9,1.07,2.9,1.07,6.67,0,6.67
19,L10X10X1,47.6,L10X10X1,284,177,177,70.4,6.46,30,30,40,42.3,0,42.3,24.8,24.8,17.4,20.8,17.4,20.8,F,L,64.7,45,45,10,10,10,1.8,1.813,5.46,3.05,3.05,1.92,1,1,3.38,4.04,3.38,2.86,0.95,2.86,0.95,6.72,0,6.72
16.8,L10X10X7/8,32.5,L10X10X7/8,253,158,158,62.8,4.39,30,30,40,37.4,0,37.4,21.9,21.9,15.9,18.4,15.9,18.4,F,L,56.9,39.9,39.9,10,11.4,10,1.68,1.688,5.47,3.07,3.07,1.93,0.875,1,3.42,3.96,3.42,2.8,0.84,2.8,0.84,6.76,0,6.76
14.5,L10X10X3/4,20.9,L10X10X3/4,222,139,139,55.7,2.8,30,30,40,32.6,0,32.6,19.2,19.2,14.3,16.2,14.3,16.2,F,L,49.1,34.6,34.6,10,13.3,10,1.55,1.563,5.53,3.1,3.1,1.96,0.75,1,3.43,3.9,3.43,2.76,0.725,2.76,0.725,6.81,0,6.81
16.8,L8X8X1-1/8,32.5,L8X8X1-1/8,155,98.1,98.1,40.7,7.13,24,24,32,29.5,0,29.5,17.5,17.5,12,15.3,12,15.3,F,L,56.9,31.6,31.6,8,7.08,8,1.75,1.75,4.29,2.41,2.41,1.56,1.13,1,2.66,3.39,2.66,2.4,1.05,2.4,1.05,5.26,0,5.26
15.1,L8X8X1,23.4,L8X8X1,141,89.1,89.1,36.8,5.08,24,24,32,26.6,0,26.6,15.8,15.8,11,13.8,11,13.8,F,L,51,28.5,28.5,8,8,8,1.63,1.625,4.32,2.43,2.43,1.56,1,1,2.67,3.34,2.67,2.36,0.944,2.36,0.944,5.3,0,5.3
13.3,L8X8X7/8,16.1,L8X8X7/8,127,79.7,79.7,32.7,3.46,24,24,32,23.7,0,23.7,14,14,10,12.1,10,12.1,F,L,45,25.3,25.3,8,9.14,8,1.5,1.5,4.36,2.45,2.45,1.57,0.875,1,2.7,3.27,2.7,2.31,0.831,2.31,0.831,5.35,0,5.35
9.69,L8X8X5/8,6.16,L8X8X5/8,95,59.6,59.6,24.2,1.3,24,24,32,17.5,0,17.5,10.3,10.3,7.73,8.8,7.73,8.8,F,L,32.7,18.6,18.6,8,12.8,8,1.25,1.25,4.42,2.48,2.48,1.58,0.625,1,2.75,3.13,2.75,2.21,0.606,2.21,0.606,5.44,0,5.44
11.5,L8X8X3/4,10.4,L8X8X3/4,111,69.9,69.9,28.5,2.21,24,24,32,20.6,0,20.6,12.2,12.2,8.91,10.4,8.91,10.4,F,L,38.9,22,22,8,10.7,8,1.38,1.375,4.39,2.46,2.46,1.57,0.75,1,2.73,3.2,2.73,2.26,0.719,2.26,0.719,5.39,0,5.39
8.77,L8X8X9/16,4.55,L8X8X9/16,86.4,54.2,54.2,21.9,0.961,24,24,32,15.8,0,15.8,9.33,9.33,7.06,7.93,7.06,7.93,F,L,29.6,16.8,16.8,8,14.2,8,1.19,1.188,4.43,2.49,2.49,1.58,0.563,1,2.76,3.1,2.76,2.19,0.548,2.19,0.548,5.46,0,5.46
