A,AISC_name,Cw,Dlt,EDI_Std_Nomenclature,H,Ix,Iy,J,PA,PB,PC,PD,Sx,Sy,T_F,Type,W,WGi,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,kdes,kdet,ro,rx,ry,tf,tfdet,tw,twdet,twdet_2,y,yp
49.2,WT22X167.5,438,21.4,WT22X167.5,0.723,2170,600,37.2,58.9,74.8,59.9,75.8,131,75.2,F,WT,167.5,5.5,234,118,15.9,16,4.5,22,22,2.56,3,8.82,6.63,3.49,1.77,1.75,1.03,1,0.5,5.53,1.54
96.4,WT20X327.5,3190,11.1,WT20X327.5,0.763,3730,1440,293,59.5,76.4,60.5,77.4,234,170,T,WT,327.5,7.5,426,271,16.9,16.875,2.39,21.8,21.75,4.72,4.813,8.38,6.22,3.86,3.54,3.563,1.97,2,1,5.85,2.85
33.9,WT22X115,139,30.3,WT22X115,0.723,1440,398,12.4,57.8,73.6,58.8,74.6,88.6,50.5,F,WT,115,5.5,157,78.3,15.8,15.75,6.45,21.5,21.5,2.01,2.438,8.67,6.53,3.43,1.22,1.25,0.71,0.688,0.375,5.17,1.07
42.6,WT22X145,275,25.2,WT22X145,0.733,1830,521,25.4,58.4,74.2,59.4,75.2,111,65.9,F,WT,145,5.5,196,102,15.8,15.875,5.02,21.8,21.75,2.36,2.813,8.66,6.54,3.49,1.58,1.563,0.865,0.875,0.438,5.26,1.35
58.3,WT20X198.5,677,16.8,WT20X198.5,0.76,2070,771,70.6,56.1,72.2,57.1,73.2,134,95.7,T,WT,198.5,7.5,240,150,16.1,16.125,3.66,20.5,20.5,3.38,3.5,8.01,5.96,3.63,2.2,2.188,1.22,1.25,0.625,5.03,1.81
87.2,WT20X296.5,2340,12,WT20X296.5,0.762,3310,1260,221,58.7,75.4,59.7,76.4,209,151,T,WT,296.5,7.5,379,240,16.7,16.75,2.58,21.5,21.5,4.41,4.5,8.29,6.16,3.8,3.23,3.25,1.79,1.813,0.938,5.66,2.61
74,WT20X251.5,1400,13.6,WT20X251.5,0.76,2730,1020,138,57.4,73.8,58.4,74.8,174,124,T,WT,251.5,7.5,314,197,16.4,16.375,2.98,21,21,3.94,4,8.17,6.07,3.72,2.76,2.75,1.54,1.563,0.813,5.38,2.25
38.5,WT22X131,200,27.6,WT22X131,0.731,1640,462,18.6,58.2,74,59.2,75,99.4,58.6,F,WT,131,5.5,176,90.9,15.8,15.75,5.57,21.7,21.625,2.2,2.625,8.64,6.53,3.47,1.42,1.438,0.785,0.813,0.438,5.19,1.22
63.3,WT20X215.5,881,15.4,WT20X215.5,0.756,2290,843,88.2,56.4,72.6,57.4,73.6,148,104,T,WT,215.5,7.5,266,164,16.2,16.25,3.44,20.6,20.625,3.54,3.625,8.09,6.01,3.65,2.36,2.375,1.34,1.313,0.688,5.18,1.95
43.6,WT20X148.5,279,21.4,WT20X148.5,0.756,1500,546,30.5,54.6,70.4,55.6,71.4,98.9,69,F,WT,148.5,7.5,176,107,15.8,15.875,4.8,19.9,19.875,2.83,2.938,7.88,5.87,3.54,1.65,1.625,0.93,0.938,0.5,4.71,1.38
