A,AISC_name,Cw,EDI_Std_Nomenclature,Ix,Iy,J,PA,PB,PC,PD,Qf,Qw,Sw1,Sx,Sy,T,T_F,Type,W,WGi,Wno,Zx,Zy,bf,bfdet,bf_2tf,d,ddet,h_tw,ho,k1,kdes,kdet,rts,rx,ry,tf,tfdet,tw,twdet,twdet_2
98.5,W44X335,535000,W44X335,31100,1200,74.7,132,148,104,120,278,805,1180,1410,150,38,F,W,335,5.5,168,1620,236,15.9,16,4.5,44,44,38,42.2,1.75,2.56,3,4.24,17.8,3.49,1.77,1.75,1.03,1,0.5
85.4,W44X290,461000,W44X290,27000,1040,50.9,131,147,103,119,248,701,1040,1240,132,38,F,W,290,5.5,166,1410,205,15.8,15.875,5.02,43.6,43.625,45,42,1.625,2.36,2.813,4.2,17.8,3.49,1.58,1.563,0.865,0.875,0.438
77.2,W44X262,405000,W44X262,24100,923,37.3,131,147,102,118,223,630,928,1110,117,38,F,W,262,5.5,165,1270,182,15.8,15.75,5.57,43.3,43.25,49.6,41.9,1.625,2.2,2.625,4.17,17.7,3.47,1.42,1.438,0.785,0.813,0.438
193,W40X655,1150000,W40X655,56500,2870,589,132,149,104,121,529,1530,2530,2590,340,34,T,W,655,7.5,169,3080,542,16.9,16.875,2.39,43.6,43.625,17.3,40.1,2.188,4.72,4.813,4.71,17.1,3.86,3.54,3.563,1.97,2,1
67.8,W44X230,346000,W44X230,20800,796,24.9,130,146,102,118,192,547,793,971,101,38,F,W,230,5.5,165,1100,157,15.8,15.75,6.45,42.9,42.875,54.8,41.7,1.563,2.01,2.438,4.13,17.5,3.43,1.22,1.25,0.71,0.688,0.375
148,W40X503,789000,W40X503,41600,2040,277,129,145,101,117,403,1150,1830,1980,249,34,T,W,503,7.5,161,2320,394,16.4,16.375,2.98,42.1,42,22.3,39.3,2,3.94,4,4.5,16.8,3.72,2.76,2.75,1.54,1.563,0.813
174,W40X593,997000,W40X593,50400,2520,445,130,147,103,120,479,1370,2240,2340,302,34,T,W,593,7.5,166,2760,481,16.7,16.75,2.58,43,43,19.1,39.8,2.125,4.41,4.5,4.63,17,3.8,3.23,3.25,1.79,1.813,0.938
127,W40X431,638000,W40X431,34800,1690,177,127,143,98.8,115,341,969,1510,1690,208,34,T,W,431,7.5,158,1960,328,16.2,16.25,3.44,41.3,41.25,25.5,38.9,1.875,3.54,3.625,4.41,16.6,3.65,2.36,2.375,1.34,1.313,0.688
117,W40X397,579000,W40X397,32000,1540,142,126,142,98.1,114,318,891,1380,1560,191,34,T,W,397,7.5,156,1800,300,16.1,16.125,3.66,41,41,28,38.8,1.813,3.38,3.5,4.38,16.6,3.64,2.2,2.188,1.22,1.25,0.625
110,W40X372,528000,W40X372,29600,1420,116,125,141,97.3,113,295,829,1280,1460,177,34,T,W,372,7.5,155,1680,277,16.1,16.125,3.93,40.6,40.625,29.5,38.6,1.813,3.23,3.313,4.33,16.5,3.6,2.05,2.063,1.16,1.188,0.625
87.3,W40X297,399000,W40X297,23200,1090,61.2,123,139,95.4,111,234,652,982,1170,138,34,F,W,297,7.5,151,1330,215,15.8,15.875,4.8,39.8,39.875,36.8,38.2,1.688,2.83,2.938,4.22,16.3,3.54,1.65,1.625,0.93,0.938,0.5
106,W40X362,513000,W40X362,28900,1380,109,125,141,97.2,113,289,808,1240,1420,173,34,T,W,362,7.5,154,1640,270,16,16,3.99,40.6,40.5,30.5,38.6,1.75,3.19,3.25,4.33,16.5,3.6,2.01,2,1.12,1.125,0.563
81.5,W40X277,379000,W40X277,21900,1040,51.5,123,139,95.2,111,225,614,940,1100,132,34,F,W,277,7.5,151,1250,204,15.8,15.875,5.03,39.7,39.75,41.2,38.1,1.625,2.76,2.875,4.25,16.4,3.58,1.58,1.563,0.83,0.813,0.438
73.5,W40X249,334000,W40X249,19600,926,38.1,122,138,94.6,110,203,551,841,993,118,34,F,W,249,7.5,150,1120,182,15.8,15.75,5.55,39.4,39.375,45.6,38,1.563,2.6,2.688,4.21,16.3,3.55,1.42,1.438,0.75,0.75,0.375
63.5,W40X215,284000,W40X215,16700,803,24.8,122,138,93.8,110,175,473,719,859,101,34,F,W,215,7.5,149,964,156,15.8,15.75,6.45,39,39,52.6,37.8,1.563,2.4,2.5,4.19,16.2,3.54,1.22,1.25,0.65,0.625,0.313
