A,AISC_name,C,D_t,EDI_Std_Nomenclature,Ix,Iy,J,OD,Sx,Sy,T_F,Type,W,Zx,Zy,rx,ry,tdes,tnom
28.5,HSS20.000X0.500,272,43,HSS20X.500,1360,1360,2720,20,136,136,F,HSS,104,177,177,6.91,6.91,0.465,0.5
21.5,HSS20.000X0.375,208,57.3,HSS20X.375,1040,1040,2080,20,104,104,F,HSS,78.67,135,135,6.95,6.95,0.349,0.375
25.6,HSS18.000X0.500,219,38.7,HSS18X.500,985,985,1970,18,109,109,F,HSS,93.54,143,143,6.2,6.2,0.465,0.5
19.4,HSS18.000X0.375,168,51.6,HSS18X.375,754,754,1510,18,83.8,83.8,F,HSS,70.66,109,109,6.24,6.24,0.349,0.375
14.4,HSS16.000X0.312,111,55,HSS16X.312,443,443,886,16,55.4,55.4,F,HSS,52.32,71.8,71.8,5.55,5.55,0.291,0.312
17.2,HSS16.000X0.375,131,45.8,HSS16X.375,526,526,1050,16,65.7,65.7,F,HSS,62.64,85.5,85.5,5.53,5.53,0.349,0.375
28.1,HSS16.000X0.625,209,27.5,HSS16X.625,838,838,1680,16,105,105,F,HSS,103,138,138,5.46,5.46,0.581,0.625
22.7,HSS16.000X0.500,171,34.4,HSS16X.500,685,685,1370,16,85.7,85.7,F,HSS,82.85,112,112,5.49,5.49,0.465,0.5
12.5,HSS14.000X0.312,84.2,48.1,HSS14X.312,295,295,589,14,42.1,42.1,F,HSS,45.65,54.7,54.7,4.85,4.85,0.291,0.312
7.7,HSS10.750X0.250,39.6,46.1,HSS10.75X.250,106,106,213,10.8,19.8,19.8,F,HSS,28.06,25.8,25.8,3.72,3.72,0.233,0.25
17.2,HSS10.000X0.625,76.6,17.2,HSS10X.625,191,191,383,10,38.3,38.3,F,HSS,62.64,51.6,51.6,3.34,3.34,0.581,0.625
13.9,HSS10.000X0.500,63.5,21.5,HSS10X.500,159,159,317,10,31.7,31.7,F,HSS,50.78,42.3,42.3,3.38,3.38,0.465,0.5
10.6,HSS10.000X0.375,49.3,28.7,HSS10X.375,123,123,247,10,24.7,24.7,F,HSS,38.58,32.5,32.5,3.41,3.41,0.349,0.375
8.88,HSS10.000X0.312,41.9,34.4,HSS10X.312,105,105,209,10,20.9,20.9,F,HSS,32.31,27.4,27.4,3.43,3.43,0.291,0.312
7.15,HSS10.000X0.250,34.1,42.9,HSS10X.250,85.3,85.3,171,10,17.1,17.1,F,HSS,26.06,22.2,22.2,3.45,3.45,0.233,0.25
5.37,HSS10.000X0.188,25.9,57.5,HSS10X.188,64.8,64.8,130,10,13,13,F,HSS,19.72,16.8,16.8,3.47,3.47,0.174,0.188
13.4,HSS9.625X0.500,58.5,20.7,HSS9.625X.500,141,141,281,9.63,29.2,29.2,F,HSS,48.77,39,39,3.24,3.24,0.465,0.5
10.2,HSS9.625X0.375,45.5,27.6,HSS9.625X.375,110,110,219,9.63,22.8,22.8,F,HSS,37.08,30,30,3.28,3.28,0.349,0.375
8.53,HSS9.625X0.312,38.7,33.1,HSS9.625X.312,93,93,186,9.63,19.3,19.3,F,HSS,31.06,25.4,25.4,3.3,3.3,0.291,0.312
6.87,HSS9.625X0.250,31.5,41.3,HSS9.625X.250,75.9,75.9,152,9.63,15.8,15.8,F,HSS,25.06,20.6,20.6,3.32,3.32,0.233,0.25
5.17,HSS9.625X0.188,24,55.3,HSS9.625X.188,57.7,57.7,115,9.63,12,12,F,HSS,18.97,15.5,15.5,3.34,3.34,0.174,0.188
14.7,HSS8.625X0.625,55.4,14.8,HSS8.625X.625,119,119,239,8.63,27.7,27.7,F,HSS,53.45,37.7,37.7,2.85,2.85,0.581,0.625
11.9,HSS8.625X0.500,46.2,18.5,HSS8.625X.500,100,100,199,8.63,23.1,23.1,F,HSS,43.43,31,31,2.89,2.89,0.465,0.5
19.9,HSS16.000X0.438,152,39.3,HSS16X.438,606,606,1210,16,75.8,75.8,F,HSS,72.87,99,99,5.51,5.51,0.407,0.438
9.07,HSS8.625X0.375,36.1,24.7,HSS8.625X.375,77.8,77.8,156,8.63,18,18,F,HSS,33.07,23.9,23.9,2.93,2.93,0.349,0.375
7.85,HSS8.625X0.322,31.6,28.8,HSS8.625X.322,68.1,68.1,136,8.63,15.8,15.8,F,HSS,28.58,20.8,20.8,2.95,2.95,0.3,0.322
11.5,HSS16.000X0.250,89.7,68.7,HSS16X.250,359,359,717,16,44.8,44.8,F,HSS,42.09,57.9,57.9,5.58,5.58,0.233,0.25
24.5,HSS14.000X0.625,158,24.1,HSS14X.625,552,552,1100,14,78.9,78.9,F,HSS,89.36,105,105,4.75,4.75,0.581,0.625
19.8,HSS14.000X0.500,130,30.1,HSS14X.500,453,453,907,14,64.8,64.8,F,HSS,72.16,85.2,85.2,4.79,4.79,0.465,0.5
15,HSS14.000X0.375,100,40.1,HSS14X.375,349,349,698,14,49.8,49.8,F,HSS,54.62,65.1,65.1,4.83,4.83,0.349,0.375
15,HSS10.750X0.500,74.1,23.1,HSS10.75X.500,199,199,398,10.8,37,37,F,HSS,54.79,49.2,49.2,3.64,3.64,0.465,0.5
13.6,HSS12.750X0.375,82.1,36.5,HSS12.75X.375,262,262,523,12.8,41,41,F,HSS,49.61,53.7,53.7,4.39,4.39,0.349,0.375
9.16,HSS12.750X0.250,56.3,54.7,HSS12.75X.250,180,180,359,12.8,28.2,28.2,F,HSS,33.41,36.5,36.5,4.43,4.43,0.233,0.25
10.1,HSS14.000X0.250,68.2,60.1,HSS14X.250,239,239,478,14,34.1,34.1,F,HSS,36.75,44.2,44.2,4.87,4.87,0.233,0.25
4.62,HSS8.625X0.188,19.1,49.6,HSS8.625X.188,41.3,41.3,82.5,8.63,9.57,9.57,F,HSS,16.96,12.4,12.4,2.99,2.99,0.174,0.188
17.9,HSS12.750X0.500,106,27.4,HSS12.75X.500,339,339,678,12.8,53.2,53.2,F,HSS,65.48,70.2,70.2,4.35,4.35,0.465,0.5
