A,Ix,Iy,Iz,R1,R2,Size,Sx,Sy,Type,W,alpha,b,d,rx,ry,rz,t,x,y
0.36,0.0745,0.0745,0.0282,0.188,0.125,L 1 1/2 x 1 1/2 x 1/8,0.0684,0.0684,Aluminum Association,0.42,45,1.5,1.5,0.455,0.455,0.28,0.125,0.411,0.411
0.423,0.121,0.121,0.0462,0.188,0.125,L 1 3/4 x 1 3/4 x 1/8,0.0948,0.0948,Aluminum Association,0.5,45,1.75,1.75,0.535,0.535,0.33,0.125,0.473,0.473
0.813,0.223,0.223,0.0904,0.188,0.125,L 1 3/4 x 1 3/4 x 1/4,0.182,0.182,Aluminum Association,0.96,45,1.75,1.75,0.523,0.523,0.333,0.25,0.524,0.524
0.688,0.135,0.135,0.0556,0.188,0.125,L 1 1/2 x 1 1/2 x 1/4,0.13,0.13,Aluminum Association,0.81,45,1.5,1.5,0.444,0.444,0.284,0.25,0.461,0.461
0.491,0.185,0.185,0.071,0.25,0.125,L 2 x 2 x 1/8,0.126,0.126,Aluminum Association,0.58,45,2,2,0.613,0.613,0.381,0.125,0.531,0.531
1.17,0.306,0.306,0.132,0.188,0.125,L 1 3/4 x 1 3/4 x 3/8,0.259,0.259,Aluminum Association,1.38,45,1.75,1.75,0.511,0.511,0.336,0.375,0.57,0.57
0.723,0.268,0.268,0.106,0.25,0.125,L 2 x 2 x 3/16,0.186,0.186,Aluminum Association,0.85,45,2,2,0.608,0.608,0.382,0.188,0.56,0.56
0.944,0.342,0.342,0.138,0.25,0.125,L 2 x 2 x 1/4,0.242,0.242,Aluminum Association,1.11,45,2,2,0.602,0.602,0.382,0.25,0.585,0.585
1.37,0.474,0.474,0.201,0.25,0.125,L 2 x 2 x 3/8,0.346,0.346,Aluminum Association,1.61,45,2,2,0.589,0.589,0.383,0.375,0.632,0.632
1.16,0.41,0.41,0.169,0.25,0.125,L 2 x 2 x 5/16,0.295,0.295,Aluminum Association,1.36,45,2,2,0.595,0.595,0.383,0.312,0.609,0.609
0.616,0.369,0.369,0.143,0.25,0.125,L 2 1/2 x 2 1/2 x 1/8,0.2,0.2,Aluminum Association,0.72,45,2.5,2.5,0.774,0.774,0.483,0.125,0.655,0.655
