A,Ix,Iy,R1,R2,Size,Sx,Sy,Type,W,b,d,d1,rx,ry,tf,tftip,tw,x
0.911,0.546,0.139,0.15,0.01,CS 2 X 1.07,0.546,0.178,Aluminum Association,1.07,1.25,2,1.48,0.774,0.39,0.26,0.26,0.17,0.471
0.49,0.288,0.045,0.1,0.01,CS 2 X 0.577,0.288,0.0639,Aluminum Association,0.577,1,2,1.74,0.766,0.303,0.13,0.13,0.13,0.296
1.36,1.97,0.417,0.25,0.01,CS 3 X 1.60,1.31,0.368,Aluminum Association,1.6,1.75,3,2.48,1.2,0.554,0.26,0.26,0.17,0.617
1.48,3.91,0.601,0.25,0.01,CS 4 X 1.74,1.95,0.446,Aluminum Association,1.74,2,4,3.54,1.63,0.638,0.23,0.23,0.15,0.653
1.98,5.21,1.02,0.25,0.01,CS 4 X 2.33,2.6,0.692,Aluminum Association,2.33,2.25,4,3.42,1.62,0.717,0.29,0.29,0.19,0.775
2.63,11.1,2.05,0.3,0.01,CS 5 X 3.09,4.45,1.14,Aluminum Association,3.09,2.75,5,4.36,2.06,0.884,0.32,0.32,0.19,0.955
1.88,7.88,0.975,0.3,0.01,CS 5 X 2.21,3.15,0.642,Aluminum Association,2.21,2.25,5,4.48,2.05,0.72,0.26,0.26,0.15,0.731
3.43,21,3.76,0.3,0.01,CS 6 X 4.03,7.01,1.76,Aluminum Association,4.03,3.25,6,5.3,2.48,1.05,0.35,0.35,0.21,1.12
2.41,14.4,1.53,0.3,0.01,CS 6 X 2.83,4.78,0.896,Aluminum Association,2.83,2.5,6,5.42,2.44,0.798,0.29,0.29,0.17,0.788
4.01,33.8,5.13,0.3,0.01,CS 7 X 4.72,9.65,2.23,Aluminum Association,4.72,3.5,7,6.24,2.9,1.13,0.38,0.38,0.21,1.2
2.73,22.1,2.1,0.3,0.01,CS 7 X 3.21,6.31,1.1,Aluminum Association,3.21,2.75,7,6.42,2.85,0.878,0.29,0.29,0.17,0.842
4.92,52.7,7.12,0.35,0.01,CS 8 X 5.79,13.2,2.82,Aluminum Association,5.79,3.75,8,7.18,3.27,1.2,0.41,0.41,0.25,1.22
3.53,37.4,3.25,0.3,0.01,CS 8 X 4.15,9.35,1.57,Aluminum Association,4.15,3,8,7.3,3.26,0.959,0.35,0.35,0.19,0.934
5.22,83.2,6.33,0.35,0.01,CS 10 X 6.14,16.6,2.55,Aluminum Association,6.14,3.5,10,9.18,3.99,1.1,0.41,0.41,0.25,1.02
5.93,78.3,9.6,0.35,0.01,CS 9 X 6.97,17.4,3.49,Aluminum Association,6.97,4,9,8.12,3.63,1.27,0.44,0.44,0.29,1.25
4.24,54.4,4.4,0.35,0.01,CS 9 X 4.98,12.1,1.89,Aluminum Association,4.98,3.25,9,8.3,3.58,1.02,0.35,0.35,0.23,0.928
7.04,160,11,0.4,0.01,CS 12 X 8.27,26.6,3.85,Aluminum Association,8.27,4,12,11.06,4.77,1.25,0.47,0.47,0.29,1.14
7.11,116,13,0.4,0.01,CS 10 X 8.36,23.2,4.46,Aluminum Association,8.36,4.25,10,9,4.04,1.35,0.5,0.5,0.31,1.34
11.8,401,44.7,0.45,0.01,CS 14 X 13.91,57.3,11.2,Aluminum Association,13.91,6,14,12.72,5.82,1.94,0.64,0.64,0.32,2
10.1,240,25.7,0.45,0.01,CS 12 X 11.8,39.9,7.59,Aluminum Association,11.8,5,12,10.76,4.88,1.6,0.62,0.62,0.35,1.61
1.21,1.66,0.2,0.27,0.1,C 3 X 1.42,1.1,0.2,American Standard,1.42,1.41,3,1.75,1.17,0.4,0.273,0.17,0.17,0.44
1.04,0.622,0.172,0.27,0.1,C 2 X 1.22,0.622,0.188,American Standard,1.22,1.41,2,0.75,0.774,0.407,0.273,0.17,0.17,0.49
0.965,1.41,0.217,0.25,0.01,CS 3 X 1.14,0.94,0.215,Aluminum Association,1.14,1.5,3,2.6,1.21,0.474,0.2,0.2,0.13,0.494
1.47,1.85,0.21,0.27,0.1,C 3 X 1.73,1.24,0.21,American Standard,1.73,1.498,3,1.75,1.12,0.41,0.273,0.17,0.258,0.44
1.76,2.07,0.31,0.27,0.1,C 3 X 2.07,1.38,0.27,American Standard,2.07,1.596,3,1.75,1.08,0.42,0.273,0.17,0.356,0.46
1.57,3.83,0.32,0.28,0.11,C 4 X 1.85,1.92,0.28,American Standard,1.85,1.58,4,2.75,1.56,0.45,0.297,0.18,0.18,0.46
1.84,4.19,0.37,0.28,0.11,C 4 X 2.16,2.1,0.31,American Standard,2.16,1.647,4,2.75,1.51,0.45,0.297,0.18,0.247,0.45
1.97,7.49,0.48,0.29,0.11,C 5 X 2.32,3,0.38,American Standard,2.32,1.75,5,3.75,1.95,0.49,0.32,0.19,0.19,0.48
2.13,4.58,0.43,0.28,0.11,C 4 X 2.50,2.29,0.34,American Standard,2.5,1.72,4,2.75,1.47,0.45,0.297,0.18,0.32,0.46
2.64,8.9,0.63,0.29,0.11,C 5 X 3.11,3.56,0.45,American Standard,3.11,1.885,5,3.75,1.83,0.49,0.32,0.19,0.325,0.48
3.38,10.4,0.81,0.29,0.11,C 5 X 3.97,4.17,0.53,American Standard,3.97,2.032,5,3.75,1.76,0.49,0.32,0.19,0.472,0.51
2.4,13.1,0.69,0.3,0.12,C 6 X 2.83,4.37,0.49,American Standard,2.83,1.92,6,4.5,2.34,0.54,0.343,0.2,0.2,0.51
2.55,13.6,0.73,0.3,0.12,C 6 X 3.00,4.52,0.51,American Standard,3,1.945,6,4.5,2.31,0.54,0.343,0.2,0.225,0.51
3.09,15.2,0.87,0.3,0.12,C 6 X 3.63,5.06,0.56,American Standard,3.63,2.034,6,4.5,2.22,0.5,0.343,0.2,0.314,0.5
3.83,17.4,1.05,0.3,0.12,C 6 X 4.50,5.8,0.64,American Standard,4.5,2.157,6,4.5,2.13,0.52,0.343,0.2,0.438,0.51
