A,I,ID,J,OD,Rb_t,S,Size,W,Z,r,t
0.28,0.0725,1.376,0.145,1.5,11.6,0.097,HSS 1.5 x 0.062,0.329,0.128,0.509,0.062
0.415,0.103,1.312,0.205,1.5,7.5,0.137,HSS 1.5 x 0.094,0.488,0.186,0.498,0.094
0.659,0.151,1.188,0.297,1.5,4.3,0.201,HSS 1.5 x 0.156,0.775,0.283,0.478,0.156
0.54,0.129,1.25,0.255,1.5,5.5,0.172,HSS 1.5 x 0.125,0.635,0.237,0.488,0.125
0.775,0.17,1.124,0.333,1.5,3.5,0.227,HSS 1.5 x 0.188,0.911,0.326,0.469,0.188
0.982,0.199,1,0.383,1.5,2.5,0.266,HSS 1.5 x 0.25,1.15,0.396,0.451,0.25
0.589,0.167,1.375,0.331,1.625,6,0.205,HSS 1.625 x 0.125,0.693,0.282,0.532,0.125
0.849,0.223,1.249,0.438,1.625,3.8,0.274,HSS 1.625 x 0.188,0.998,0.39,0.512,0.188
1.08,0.264,1.125,0.51,1.625,2.8,0.324,HSS 1.625 x 0.25,1.27,0.478,0.494,0.25
0.638,0.212,1.5,0.421,1.75,6.5,0.242,HSS 1.75 x 0.125,0.75,0.331,0.576,0.125
1.18,0.341,1.25,0.663,1.75,3,0.389,HSS 1.75 x 0.25,1.39,0.568,0.538,0.25
1.33,0.233,0.75,0.419,1.5,1.5,0.311,HSS 1.5 x 0.375,1.56,0.492,0.419,0.375
1.62,0.411,1,0.766,1.75,1.8,0.47,HSS 1.75 x 0.375,1.9,0.727,0.504,0.375
0.687,0.264,1.625,0.526,1.875,7,0.282,HSS 1.875 x 0.125,0.808,0.383,0.62,0.125
0.923,0.285,1.374,0.563,1.75,4.2,0.326,HSS 1.75 x 0.188,1.08,0.461,0.556,0.188
0.996,0.359,1.499,0.709,1.875,4.5,0.383,HSS 1.875 x 0.188,1.17,0.537,0.6,0.188
1.28,0.431,1.375,0.843,1.875,3.3,0.46,HSS 1.875 x 0.25,1.5,0.665,0.581,0.25
1.77,0.528,1.125,0.994,1.875,2,0.563,HSS 1.875 x 0.375,2.08,0.861,0.547,0.375
2.75,1.14,1.25,2.1,2.25,1.8,1.01,HSS 2.25 x 0.5,3.23,1.57,0.643,0.5
1.29,0.778,1.999,1.54,2.375,5.8,0.655,HSS 2.375 x 0.188,1.52,0.901,0.776,0.188
1.67,0.955,1.875,1.88,2.375,4.3,0.804,HSS 2.375 x 0.25,1.96,1.13,0.756,0.25
2.36,1.22,1.625,2.36,2.375,2.7,1.03,HSS 2.375 x 0.375,2.77,1.52,0.719,0.375
2.95,1.39,1.375,2.59,2.375,1.9,1.17,HSS 2.375 x 0.5,3.46,1.8,0.686,0.5
0.933,0.659,2.25,1.32,2.5,9.5,0.528,HSS 2.5 x 0.125,1.1,0.706,0.841,0.125
1.37,0.918,2.124,1.82,2.5,6.1,0.735,HSS 2.5 x 0.188,1.61,1.01,0.82,0.188
1.77,1.13,2,2.24,2.5,4.5,0.906,HSS 2.5 x 0.25,2.08,1.27,0.8,0.25
2.14,1.31,1.876,2.57,2.5,3.5,1.05,HSS 2.5 x 0.312,2.52,1.5,0.781,0.312
2.5,1.46,1.75,2.83,2.5,2.8,1.17,HSS 2.5 x 0.375,2.94,1.71,0.763,0.375
2.36,0.736,1,1.33,2,1.5,0.736,HSS 2 x 0.5,2.77,1.17,0.559,0.5
3.14,1.67,1.5,3.14,2.5,2,1.34,HSS 2.5 x 0.5,3.69,2.04,0.729,0.5
4.12,1.87,1,3.16,2.5,1.2,1.49,HSS 2.5 x 0.75,4.85,2.44,0.673,0.75
3.68,1.8,1.25,3.24,2.5,1.5,1.44,HSS 2.5 x 0.625,4.33,2.28,0.699,0.625
