A,Ix,Iy,J,Size,Sx,Sy,Type,W,Zx,Zy,b,d,rx,ry,t
0.243,0.0356,0.0356,0.0531,RT 1 x 1 x 0.065,0.0712,0.0712,Aluminum,0.286,0.0854,0.0854,1,1,0.383,0.383,0.065
0.438,0.057,0.057,0.0837,RT 1 x 1 x 0.125,0.114,0.114,Aluminum,0.515,0.145,0.145,1,1,0.361,0.361,0.125
0.308,0.0723,0.0723,0.108,RT 1.25 x 1.25 x 0.065,0.116,0.116,Aluminum,0.362,0.137,0.137,1.25,1.25,0.485,0.485,0.065
0.344,0.0475,0.0475,0.0704,RT 1 x 1 x 0.0 95,0.0949,0.0949,Aluminum,0.404,0.117,0.117,1,1,0.371,0.371,0.095
0.439,0.0982,0.0982,0.146,RT 1.25 x 1.25 x  0.095,0.157,0.157,Aluminum,0.516,0.191,0.191,1.25,1.25,0.473,0.473,0.095
0.563,0.12,0.12,0.178,RT 1.25 x 1.25 x 0.125,0.192,0.192,Aluminum,0.662,0.238,0.238,1.25,1.25,0.462,0.462,0.125
0.373,0.128,0.128,0.192,RT 1.5 x 1.5 x 0.065,0.171,0.171,Aluminum,0.439,0.201,0.201,1.5,1.5,0.586,0.586,0.065
0.625,0.164,0.164,0.244,RT 1.375 x 1.375 x 0.125,0.239,0.239,Aluminum,0.735,0.294,0.294,1.375,1.375,0.513,0.513,0.125
0.534,0.176,0.176,0.263,RT 1.5 x 1.5 x 0.095,0.235,0.235,Aluminum,0.628,0.282,0.282,1.5,1.5,0.575,0.575,0.095
0.444,0.15,0.15,0.224,RT 1.5 x 1.5 x 0.078,0.2,0.2,Aluminum,0.522,0.237,0.237,1.5,1.5,0.581,0.581,0.078
0.688,0.218,0.218,0.325,RT 1.5 x 1.5 x 0.125,0.291,0.291,Aluminum,0.809,0.355,0.355,1.5,1.5,0.564,0.564,0.125
1.25,0.339,0.339,0.488,RT 1.5 x 1.5 x 0.25,0.451,0.451,Aluminum,1.47,0.594,0.594,1.5,1.5,0.52,0.52,0.25
0.724,0.439,0.439,0.657,RT 2 x 2 x 0.095,0.439,0.439,Aluminum,0.851,0.518,0.518,2,2,0.779,0.779,0.095
0.938,0.552,0.552,0.824,RT 2 x 2 x 0.125,0.552,0.552,Aluminum,1.1,0.66,0.66,2,2,0.767,0.767,0.125
1.15,0.657,0.657,0.978,RT 2 x 2 x 0.156,0.657,0.657,Aluminum,1.35,0.798,0.798,2,2,0.755,0.755,0.156
1.75,0.911,0.911,1.34,RT 2 x 2 x 0.25,0.911,0.911,Aluminum,2.06,1.16,1.16,2,2,0.722,0.722,0.25
1.06,0.802,0.802,1.2,RT 2.25 x 2.25 x 0.125,0.713,0.713,Aluminum,1.25,0.848,0.848,2.25,2.25,0.869,0.869,0.125
1.19,1.12,1.12,1.67,RT 2.5 x 2.5 x 0.125,0.896,0.896,Aluminum,1.4,1.06,1.06,2.5,2.5,0.971,0.971,0.125
1.74,1.56,1.56,2.32,RT 2.5 x 2.5 x 0.188,1.25,1.25,Aluminum,2.04,1.51,1.51,2.5,2.5,0.947,0.947,0.188
2.25,1.92,1.92,2.85,RT 2.5 x 2.5 x 0.25,1.54,1.54,Aluminum,2.65,1.91,1.91,2.5,2.5,0.924,0.924,0.25
1.93,2.12,2.12,3.16,RT 2.75 x 2.75 x 0.188,1.54,1.54,Aluminum,2.27,1.85,1.85,2.75,2.75,1.05,1.05,0.188
1.31,1.51,1.51,2.26,RT 2.75 x 2.75 x 0.125,1.1,1.1,Aluminum,1.54,1.29,1.29,2.75,2.75,1.07,1.07,0.125
1.44,1.98,1.98,2.97,RT 3 x 3 x 0.125,1.32,1.32,Aluminum,1.69,1.55,1.55,3,3,1.17,1.17,0.125
1.1,1.55,1.55,2.33,RT 3 x 3 x 0.095,1.04,1.04,Aluminum,1.3,1.2,1.2,3,3,1.19,1.19,0.095
1.36,0.754,0.754,1.12,RT 2 x 2 x 0.188,0.754,0.754,Aluminum,1.6,0.929,0.929,2,2,0.744,0.744,0.188
2.11,2.8,2.8,4.18,RT 3 x 3 x 0.188,1.87,1.87,Aluminum,2.49,2.23,2.23,3,3,1.15,1.15,0.188
2.75,3.49,3.49,5.2,RT 3 x 3 x 0.25,2.33,2.33,Aluminum,3.23,2.84,2.84,3,3,1.13,1.13,0.25
1.69,3.21,3.21,4.81,RT 3.5 x 3.5 x 0.125,1.83,1.83,Aluminum,1.98,2.14,2.14,3.5,3.5,1.38,1.38,0.125
3.94,4.61,4.61,6.78,RT 3 x 3 x 0.375,3.08,3.08,Aluminum,4.63,3.9,3.9,3,3,1.08,1.08,0.375
3.25,5.76,5.76,8.58,RT 3.5 x 3.5 x 0.25,3.29,3.29,Aluminum,3.82,3.97,3.97,3.5,3.5,1.33,1.33,0.25
4.69,7.74,7.74,11.4,RT 3.5 x 3.5 x 0.375,4.42,4.42,Aluminum,5.51,5.52,5.52,3.5,3.5,1.28,1.28,0.375
1.94,4.85,4.85,7.27,RT 4 x 4 x 0.125,2.43,2.43,Aluminum,2.28,2.82,2.82,4,4,1.58,1.58,0.125
2.87,6.96,6.96,10.4,RT 4 x 4 x 0.188,3.48,3.48,Aluminum,3.37,4.1,4.1,4,4,1.56,1.56,0.188
3.75,8.83,8.83,13.2,RT 4 x 4 x 0.25,4.41,4.41,Aluminum,4.41,5.28,5.28,4,4,1.53,1.53,0.25
7,14.6,14.6,21.4,RT 4 x 4 x 0.5,7.29,7.29,Aluminum,8.23,9.25,9.25,4,4,1.44,1.44,0.5
5.44,12,12,17.9,RT 4 x 4 x 0.375,6.02,6.02,Aluminum,6.39,7.42,7.42,4,4,1.49,1.49,0.375
0.813,0.36,0.36,0.536,RT 1.75 x 1.75 x 0.125,0.411,0.411,Aluminum,0.956,0.496,0.496,1.75,1.75,0.665,0.665,0.125
2.44,9.66,9.66,14.5,RT 5 x 5 x 0.125,3.86,3.86,Aluminum,2.87,4.46,4.46,5,5,1.99,1.99,0.125
3.62,14,14,20.9,RT 5 x 5 x 0.188,5.59,5.59,Aluminum,4.26,6.53,6.53,5,5,1.97,1.97,0.188
4.75,17.9,17.9,26.8,RT 5 x 5 x 0.25,7.16,7.16,Aluminum,5.59,8.47,8.47,5,5,1.94,1.94,0.25
6.94,24.9,24.9,37.1,RT 5 x 5 x 0.375,9.96,9.96,Aluminum,8.16,12.1,12.1,5,5,1.89,1.89,0.375
4.37,24.6,24.6,36.9,RT 6 x 6 x 0.188,8.21,8.21,Aluminum,5.14,9.53,9.53,6,6,2.37,2.37,0.188
2.94,16.9,16.9,25.3,RT 6 x 6 x 0.125,5.64,5.64,Aluminum,3.45,6.47,6.47,6,6,2.4,2.4,0.125
5.75,31.7,31.7,47.5,RT 6 x 6 x 0.25,10.6,10.6,Aluminum,6.76,12.4,12.4,6,6,2.35,2.35,0.25
11,55.9,55.9,83.2,RT 6 x 6 x 0.5,18.6,18.6,Aluminum,12.9,22.8,22.8,6,6,2.25,2.25,0.5
5.87,59.8,59.8,89.6,RT 8 x 8 x 0.188,14.9,14.9,Aluminum,6.91,17.2,17.2,8,8,3.19,3.19,0.188
7.75,77.7,77.7,116,RT 8 x 8 x 0.25,19.4,19.4,Aluminum,9.11,22.5,22.5,8,8,3.17,3.17,0.25
11.4,111,111,166,RT 8 x 8 x 0.375,27.8,27.8,Aluminum,13.5,32.7,32.7,8,8,3.12,3.12,0.375
15,141,141,211,RT 8 x 8 x 0.5,35.3,35.3,Aluminum,17.6,42.3,42.3,8,8,3.07,3.07,0.5
0.563,0.159,0.0811,0.161,RT 1 1/2 x 1 x 1/8,0.212,0.162,Aluminum,0.662,0.27,0.199,1,1.5,0.532,0.38,0.125
0.75,0.318,0.248,0.416,RT 1 3/4 x 1 1/2 x 1/8,0.364,0.331,Aluminum,0.882,0.445,0.398,1.5,1.75,0.652,0.575,0.125
0.688,0.332,0.105,0.245,RT 2 x 1 x 1/8,0.332,0.21,Aluminum,0.809,0.426,0.254,1,2,0.695,0.391,0.125
0.75,0.387,0.18,0.371,RT 2 x 1 1/4  x 1/8,0.387,0.288,Aluminum,0.882,0.484,0.344,1.25,2,0.718,0.489,0.125
0.813,0.442,0.278,0.511,RT 2 x 1 1/2 x 1/8,0.442,0.37,Aluminum,0.956,0.543,0.441,1.5,2,0.737,0.585,0.125
