A,Cw,Ix,Iy,J,R1,R2,Size,Sx,Sy,Type,W,Zx,Zy,b,d,d1,rx,ry,tf,tw
1.39,1.02,2.24,0.522,0.019,0.25,0.01,I 3 x 1.64,1.49,0.418,Aluminum Association,1.64,1.62,0.63,2.5,3,2.1,1.27,0.613,0.2,0.13
8.75,407,156,18,0.62,0.4,0.01,I 10 x 10.3,31.2,6.01,Aluminum Association,10.3,34.4,9.095,6,10,8.2,4.22,1.44,0.5,0.29
9.92,894,256,26.9,0.621,0.4,0.01,I 12 x 11.7,42.6,7.69,Aluminum Association,11.7,46.8,11.631,7,12,10.26,5.07,1.65,0.47,0.29
12.2,1149,317,35.5,1.26,0.4,0.01,I 12 x 14.3,52.9,10.1,Aluminum Association,14.3,58.4,15.319,7,12,9.96,5.11,1.71,0.62,0.31
13.6,2300,489,51.2,1.31,0.4,0.01,I 14 x 16.0,69.9,12.8,Aluminum Association,16,76.6,19.344,8,14,12,6,1.94,0.6,0.3
3.43,25.3,22,3.1,0.089,0.3,0.01,I 6 x 4.03,7.33,1.55,Aluminum Association,4.03,8.02,2.344,4,6,4.82,2.53,0.951,0.29,0.19
1.73,1.27,2.71,0.679,0.037,0.25,0.01,I 3 x 2.03,1.81,0.543,Aluminum Association,2.03,2.01,0.819,2.5,3,1.98,1.25,0.627,0.26,0.15
5.52,48.3,23.9,7.73,0.281,0.313,0.165,WF 5 x 6.49,9.58,3.09,Wide Flange Beam,6.49,10.87,5.29,5,5,3.38,2.08,1.18,0.415,0.313
3.54,26.8,21.8,2.98,0.08,0.25,0,WF 6 x 4.16,7.25,1.49,Wide Flange Beam,4.16,8.09,2.304,4,6,4.88,2.48,0.92,0.279,0.23
4.59,87.2,30.2,9.69,0.103,0.25,0,WF 6 x 5.40,10.1,3.23,Wide Flange Beam,5.4,11.04,4.921,6,6,4.88,2.56,1.45,0.269,0.24
6.68,126,44.3,14,0.389,0.313,0.18,WF 6 x 7.85,14.8,4.67,Wide Flange Beam,7.85,16.46,8.009,5.93,6,4.38,2.57,1.45,0.451,0.25
7.06,131,45.4,14.5,0.419,0.313,0.18,WF 6 x 8.30,15.1,4.83,Wide Flange Beam,8.3,17.05,8.243,6,6,4.38,2.54,1.43,0.451,0.313
7.81,140,47.6,15.5,0.518,0.313,0.18,WF 6 x 9.18,15.9,5.16,Wide Flange Beam,9.18,18.19,8.718,6.13,6,4.38,2.47,1.41,0.451,0.438
5.02,119,56.7,7.44,0.132,0.32,0,WF 8 x 5.90,14.2,2.83,Wide Flange Beam,5.9,15.57,4.342,5.25,8,6.75,3.36,1.22,0.308,0.23
7.08,291,84.2,18.2,0.309,0.4,0,WF 8 x 8.32,21,5.61,Wide Flange Beam,8.32,22.85,8.516,6.5,8,6.38,3.44,1.61,0.398,0.245
9.12,592,110,37,0.49,0.4,0,WF 8 x 10.7,27.4,9.24,Wide Flange Beam,10.7,29.88,14,8,8,6.38,3.47,2.01,0.433,0.288
9.55,542,113,33.9,0.581,0.313,0.179,WF 8 x 11.2,28.3,8.47,Wide Flange Beam,11.2,31.35,14.61,7.94,8,6.25,3.45,1.88,0.458,0.313
10.1,555,116,34.7,0.637,0.313,0.179,WF 8 x 11.8,29,8.68,Wide Flange Beam,11.8,32.34,14.91,8,8,6.25,3.4,1.86,0.458,0.375
3.15,12.5,13.9,2.29,0.098,0.3,0.01,I 5 x 3.70,5.58,1.31,Aluminum Association,3.7,6.14,1.98,3.5,5,3.76,2.11,0.853,0.32,0.19
1.96,3.68,5.62,1.04,0.033,0.25,0.01,I 4 x 2.31,2.81,0.691,Aluminum Association,2.31,3.07,1.045,3,4,3.04,1.69,0.727,0.23,0.15
5.97,123,67.8,8.55,0.286,0.3,0.01,I 8 x 7.02,16.9,3.42,Aluminum Association,7.02,18.8,5.181,5,8,6.58,3.37,1.2,0.41,0.25
3.99,29.8,25.5,3.74,0.145,0.3,0.01,I 6 x 4.69,8.5,1.87,Aluminum Association,4.69,9.38,2.829,4,6,4.7,2.53,0.968,0.35,0.21
4.93,63.3,42.9,5.78,0.206,0.3,0.01,I 7 x 5.80,12.3,2.57,Aluminum Association,5.8,13.6,3.889,4.5,7,5.64,2.95,1.08,0.38,0.23
5.26,107,59.7,7.3,0.188,0.3,0.01,I 8 x 6.18,14.9,2.92,Aluminum Association,6.18,16.5,4.423,5,8,6.7,3.37,1.18,0.35,0.23
7.35,340,132,14.8,0.36,0.4,0.01,I 10 x 8.65,26.4,4.93,Aluminum Association,8.65,28.9,7.452,6,10,8.38,4.24,1.42,0.41,0.25
